expense_id,project_id,budget_id,category,expense_type,amount,description,vendor,invoice_number,expense_date,approved_by,approval_date,created_date,updated_date
EXP042,PRJ009,BDG045,ค่าใช้จ่ายอื่นๆ,วัสดุก่อสร้าง,370092,วัสดุก่อสร้าง สำหรับ โครงการห้างสรรพสินค้า แห่งที่ 9,บริษัท YZ จำกัด,INV2527-542,2024-11-02,วิชัย รุ่งเรือง,2024-11-03,2023-05-22,2024-11-11
EXP043,PRJ009,BDG041,ค่าแรง,ค่าแรง,400379,ค่าบริการ สำหรับ โครงการห้างสรรพสินค้า แห่งที่ 9,บริษัท VW จำกัด,INV1982-700,2024-10-07,ประเสริฐ แก้วมี,2024-10-14,2023-05-22,2024-11-11
EXP044,PRJ009,BDG045,ค่าใช้จ่ายอื่นๆ,เช่าเครื่องจักร,361279,ค่าใช้จ่ายอื่นๆ สำหรับ โครงการห้างสรรพสินค้า แห่งที่ 9,บริษัท CD จำกัด,INV7929-988,2024-08-04,วิชัย รุ่งเรือง,2024-08-08,2023-05-22,2024-11-11
EXP045,PRJ010,BDG046,ค่าแรง,วัสดุก่อสร้าง,324787,ค่าบริการ สำหรับ โครงการโรงงาน แห่งที่ 10,บริษัท NO จำกัด,INV9313-317,2024-10-01,สุมาลี ทองดี,2024-10-04,2024-04-24,2024-11-26
EXP046,PRJ010,BDG046,ค่าแรง,วัสดุก่อสร้าง,354318,เช่าเครื่องจักร สำหรับ โครงการโรงงาน แห่งที่ 10,บริษัท CD จำกัด,INV7022-217,2024-11-14,ประเสริฐ แก้วมี,2024-11-16,2024-04-24,2024-11-26
EXP047,PRJ010,BDG049,ขนส่ง,ค่าขนส่ง,310993,ค่าบริการ สำหรับ โครงการโรงงาน แห่งที่ 10,บริษัท MN จำกัด,INV1430-723,2024-09-09,ประเสริฐ แก้วมี,2024-09-16,2024-04-24,2024-11-26
EXP048,PRJ010,BDG049,ขนส่ง,ค่าใช้จ่ายอื่นๆ,25179,เช่าเครื่องจักร สำหรับ โครงการโรงงาน แห่งที่ 10,บริษัท RS จำกัด,INV6567-459,2024-08-29,วิชัย รุ่งเรือง,2024-09-01,2024-04-24,2024-11-26
EXP049,PRJ010,BDG048,เครื่องจักร,ค่าใช้จ่ายอื่นๆ,105108,ค่าขนส่ง สำหรับ โครงการโรงงาน แห่งที่ 10,บริษัท EF จำกัด,INV2140-245,2024-08-19,วิชัย รุ่งเรือง,2024-08-24,2024-04-24,2024-11-26
EXP050,PRJ011,BDG053,เครื่องจักร,ค่าขนส่ง,401177,ค่าขนส่ง สำหรับ โครงการลานจอดรถ ใหม่ 11,บริษัท DE จำกัด,INV8432-449,2024-12-17,สุมาลี ทองดี,2024-12-19,2023-01-02,2024-08-02
EXP051,PRJ011,BDG055,ค่าใช้จ่ายอื่นๆ,เช่าเครื่องจักร,204014,ค่าบริการ สำหรับ โครงการลานจอดรถ ใหม่ 11,บริษัท PQ จำกัด,INV2391-153,2024-08-27,สุมาลี ทองดี,2024-09-02,2023-01-02,2024-08-02
EXP052,PRJ011,BDG055,ค่าใช้จ่ายอื่นๆ,วัสดุก่อสร้าง,92528,เช่าเครื่องจักร สำหรับ โครงการลานจอดรถ ใหม่ 11,บริษัท KL จำกัด,INV8259-777,2024-04-15,อนงค์ มณีแสง,2024-04-21,2023-01-02,2024-08-02
EXP053,PRJ012,BDG060,ค่าใช้จ่ายอื่นๆ,เช่าเครื่องจักร,328282,ค่าแรง สำหรับ โครงการอาคารสำนักงาน ขยาย 12,บริษัท LM จำกัด,INV9394-216,2024-11-04,ประเสริฐ แก้วมี,2024-11-08,2024-02-03,2024-12-19
EXP054,PRJ012,BDG056,ค่าแรง,ค่าใช้จ่ายอื่นๆ,235398,ค่าใช้จ่ายอื่นๆ สำหรับ โครงการอาคารสำนักงาน ขยาย 12,บริษัท EF จำกัด,INV8972-639,2024-05-18,ประเสริฐ แก้วมี,2024-05-21,2024-02-03,2024-12-19
EXP055,PRJ012,BDG060,ค่าใช้จ่ายอื่นๆ,ค่าบริการ,33811,วัสดุก่อสร้าง สำหรับ โครงการอาคารสำนักงาน ขยาย 12,บริษัท WX จำกัด,INV1125-309,2024-07-13,ประเสริฐ แก้วมี,2024-07-17,2024-02-03,2024-12-19
EXP056,PRJ012,BDG059,ขนส่ง,เช่าเครื่องจักร,120747,เช่าเครื่องจักร สำหรับ โครงการอาคารสำนักงาน ขยาย 12,บริษัท MN จำกัด,INV6375-222,2024-06-01,วิชัย รุ่งเรือง,2024-06-08,2024-02-03,2024-12-19
EXP057,PRJ012,BDG056,ค่าแรง,ค่าแรง,270773,ค่าขนส่ง สำหรับ โครงการอาคารสำนักงาน ขยาย 12,บริษัท CD จำกัด,INV9725-820,2024-10-29,สุมาลี ทองดี,2024-10-31,2024-02-03,2024-12-19
EXP058,PRJ012,BDG057,วัสดุก่อสร้าง,ค่าขนส่ง,272281,ค่าใช้จ่ายอื่นๆ สำหรับ โครงการอาคารสำนักงาน ขยาย 12,บริษัท BC จำกัด,INV1693-546,2024-09-20,วิชัย รุ่งเรือง,2024-09-21,2024-02-03,2024-12-19
EXP059,PRJ013,BDG061,ค่าแรง,เช่าเครื่องจักร,492954,ค่าบริการ สำหรับ โครงการอาคารที่พักอาศัย ใหม่ 13,บริษัท GH จำกัด,INV8033-687,2024-10-26,อนงค์ มณีแสง,2024-11-02,2023-03-29,2024-12-18
EXP060,PRJ013,BDG061,ค่าแรง,วัสดุก่อสร้าง,381981,ค่าขนส่ง สำหรับ โครงการอาคารที่พักอาศัย ใหม่ 13,บริษัท BC จำกัด,INV1341-432,2024-12-09,สุมาลี ทองดี,2024-12-12,2023-03-29,2024-12-18
EXP061,PRJ013,BDG061,ค่าแรง,ค่าใช้จ่ายอื่นๆ,430123,เช่าเครื่องจักร สำหรับ โครงการอาคารที่พักอาศัย ใหม่ 13,บริษัท LM จำกัด,INV2443-547,2024-12-14,วิชัย รุ่งเรือง,2024-12-21,2023-03-29,2024-12-18
EXP062,PRJ013,BDG063,เครื่องจักร,ค่าขนส่ง,137567,ค่าบริการ สำหรับ โครงการอาคารที่พักอาศัย ใหม่ 13,บริษัท UV จำกัด,INV2288-505,2024-12-11,ประเสริฐ แก้วมี,2024-12-16,2023-03-29,2024-12-18
EXP063,PRJ013,BDG062,วัสดุก่อสร้าง,เช่าเครื่องจักร,401016,ค่าแรง สำหรับ โครงการอาคารที่พักอาศัย ใหม่ 13,บริษัท LM จำกัด,INV2251-622,2024-11-29,วิชัย รุ่งเรือง,2024-12-01,2023-03-29,2024-12-18
EXP064,PRJ013,BDG061,ค่าแรง,เช่าเครื่องจักร,288189,เช่าเครื่องจักร สำหรับ โครงการอาคารที่พักอาศัย ใหม่ 13,บริษัท MN จำกัด,INV3419-341,2024-12-21,วิชัย รุ่งเรือง,2024-12-23,2023-03-29,2024-12-18
EXP065,PRJ014,BDG066,ค่าแรง,ค่าบริการ,144201,ค่าแรง สำหรับ โครงการโรงงาน ปรับปรุง 14,บริษัท OP จำกัด,INV2234-281,2024-07-28,อนงค์ มณีแสง,2024-07-30,2024-01-22,2024-07-29
EXP066,PRJ014,BDG068,เครื่องจักร,ค่าบริการ,253245,ค่าใช้จ่ายอื่นๆ สำหรับ โครงการโรงงาน ปรับปรุง 14,บริษัท FG จำกัด,INV6295-984,2024-12-03,ประเสริฐ แก้วมี,2024-12-09,2024-01-22,2024-07-29
EXP067,PRJ014,BDG068,เครื่องจักร,ค่าขนส่ง,89145,ค่าขนส่ง สำหรับ โครงการโรงงาน ปรับปรุง 14,บริษัท NO จำกัด,INV5961-915,2024-11-29,ประเสริฐ แก้วมี,2024-11-30,2024-01-22,2024-07-29
EXP068,PRJ014,BDG068,เครื่องจักร,ค่าบริการ,320074,วัสดุก่อสร้าง สำหรับ โครงการโรงงาน ปรับปรุง 14,บริษัท GH จำกัด,INV6085-572,2024-05-16,อนงค์ มณีแสง,2024-05-19,2024-01-22,2024-07-29
EXP069,PRJ015,BDG075,ค่าใช้จ่ายอื่นๆ,เช่าเครื่องจักร,39826,วัสดุก่อสร้าง สำหรับ โครงการสะพาน แห่งที่ 15,บริษัท HI จำกัด,INV2479-729,2024-09-24,อนงค์ มณีแสง,2024-10-01,2023-08-24,2024-11-19
EXP070,PRJ015,BDG072,วัสดุก่อสร้าง,ค่าใช้จ่ายอื่นๆ,252594,วัสดุก่อสร้าง สำหรับ โครงการสะพาน แห่งที่ 15,บริษัท TU จำกัด,INV8368-929,2024-11-17,สุมาลี ทองดี,2024-11-22,2023-08-24,2024-11-19
EXP071,PRJ015,BDG074,ขนส่ง,ค่าบริการ,178572,ค่าแรง สำหรับ โครงการสะพาน แห่งที่ 15,บริษัท XY จำกัด,INV2013-561,2024-11-23,วิชัย รุ่งเรือง,2024-11-27,2023-08-24,2024-11-19
EXP072,PRJ016,BDG076,ค่าแรง,ค่าใช้จ่ายอื่นๆ,384507,ค่าแรง สำหรับ โครงการห้างสรรพสินค้า ใหม่ 16,บริษัท AB จำกัด,INV1641-353,2024-09-30,อนงค์ มณีแสง,2024-10-05,2023-10-13,2024-12-14
EXP073,PRJ016,BDG077,วัสดุก่อสร้าง,ค่าบริการ,240383,ค่าแรง สำหรับ โครงการห้างสรรพสินค้า ใหม่ 16,บริษัท IJ จำกัด,INV6962-481,2024-11-26,ประเสริฐ แก้วมี,2024-12-01,2023-10-13,2024-12-14
EXP074,PRJ016,BDG076,ค่าแรง,เช่าเครื่องจักร,213117,ค่าใช้จ่ายอื่นๆ สำหรับ โครงการห้างสรรพสินค้า ใหม่ 16,บริษัท UV จำกัด,INV1857-908,2024-11-11,ประเสริฐ แก้วมี,2024-11-18,2023-10-13,2024-12-14
EXP075,PRJ016,BDG080,ค่าใช้จ่ายอื่นๆ,ค่าบริการ,44556,ค่าใช้จ่ายอื่นๆ สำหรับ โครงการห้างสรรพสินค้า ใหม่ 16,บริษัท BC จำกัด,INV7333-390,2024-11-01,ประเสริฐ แก้วมี,2024-11-02,2023-10-13,2024-12-14
EXP076,PRJ016,BDG076,ค่าแรง,ค่าแรง,389444,เช่าเครื่องจักร สำหรับ โครงการห้างสรรพสินค้า ใหม่ 16,บริษัท BC จำกัด,INV2335-696,2024-12-13,สุมาลี ทองดี,2024-12-18,2023-10-13,2024-12-14
EXP077,PRJ017,BDG083,เครื่องจักร,ค่าบริการ,172650,ค่าใช้จ่ายอื่นๆ สำหรับ โครงการโรงเรียน ขยาย 17,บริษัท TU จำกัด,INV2388-417,2024-11-04,อนงค์ มณีแสง,2024-11-06,2023-04-07,2024-08-20
EXP078,PRJ017,BDG084,ขนส่ง,ค่าแรง,347375,ค่าใช้จ่ายอื่นๆ สำหรับ โครงการโรงเรียน ขยาย 17,บริษัท YZ จำกัด,INV9624-195,2024-10-19,อนงค์ มณีแสง,2024-10-26,2023-04-07,2024-08-20
EXP079,PRJ017,BDG085,ค่าใช้จ่ายอื่นๆ,เช่าเครื่องจักร,276594,เช่าเครื่องจักร สำหรับ โครงการโรงเรียน ขยาย 17,บริษัท MN จำกัด,INV3953-319,2024-10-27,ประเสริฐ แก้วมี,2024-10-28,2023-04-07,2024-08-20
EXP080,PRJ017,BDG081,ค่าแรง,ค่าแรง,411686,ค่าแรง สำหรับ โครงการโรงเรียน ขยาย 17,บริษัท HI จำกัด,INV3538-179,2024-11-28,ประเสริฐ แก้วมี,2024-11-30,2023-04-07,2024-08-20
EXP081,PRJ017,BDG084,ขนส่ง,ค่าบริการ,452723,ค่าใช้จ่ายอื่นๆ สำหรับ โครงการโรงเรียน ขยาย 17,บริษัท BC จำกัด,INV9626-138,2024-08-21,ประเสริฐ แก้วมี,2024-08-26,2023-04-07,2024-08-20
EXP082,PRJ018,BDG090,ค่าใช้จ่ายอื่นๆ,ค่าแรง,78707,ค่าแรง สำหรับ โครงการสะพาน ใหม่ 18,บริษัท XY จำกัด,INV3962-951,2024-11-21,สุมาลี ทองดี,2024-11-25,2023-04-22,2024-08-24
EXP083,PRJ018,BDG088,เครื่องจักร,ค่าขนส่ง,388107,เช่าเครื่องจักร สำหรับ โครงการสะพาน ใหม่ 18,บริษัท DE จำกัด,INV4891-554,2024-10-12,ประเสริฐ แก้วมี,2024-10-13,2023-04-22,2024-08-24
EXP084,PRJ018,BDG090,ค่าใช้จ่ายอื่นๆ,ค่าขนส่ง,404469,ค่าแรง สำหรับ โครงการสะพาน ใหม่ 18,บริษัท UV จำกัด,INV9749-344,2024-12-30,ประเสริฐ แก้วมี,2025-01-06,2023-04-22,2024-08-24
EXP085,PRJ018,BDG086,ค่าแรง,ค่าแรง,433951,เช่าเครื่องจักร สำหรับ โครงการสะพาน ใหม่ 18,บริษัท PQ จำกัด,INV8218-572,2024-10-20,ประเสริฐ แก้วมี,2024-10-27,2023-04-22,2024-08-24
EXP086,PRJ018,BDG090,ค่าใช้จ่ายอื่นๆ,ค่าบริการ,417961,ค่าขนส่ง สำหรับ โครงการสะพาน ใหม่ 18,บริษัท IJ จำกัด,INV3655-936,2024-09-27,สุมาลี ทองดี,2024-10-02,2023-04-22,2024-08-24
EXP087,PRJ018,BDG086,ค่าแรง,เช่าเครื่องจักร,430090,วัสดุก่อสร้าง สำหรับ โครงการสะพาน ใหม่ 18,บริษัท DE จำกัด,INV8873-995,2024-11-23,ประเสริฐ แก้วมี,2024-11-25,2023-04-22,2024-08-24
EXP088,PRJ018,BDG088,เครื่องจักร,ค่าบริการ,300739,วัสดุก่อสร้าง สำหรับ โครงการสะพาน ใหม่ 18,บริษัท IJ จำกัด,INV5670-185,2024-07-18,สุมาลี ทองดี,2024-07-24,2023-04-22,2024-08-24
EXP089,PRJ019,BDG092,วัสดุก่อสร้าง,ค่าแรง,245572,ค่าขนส่ง สำหรับ โครงการห้างสรรพสินค้า แห่งที่ 19,บริษัท IJ จำกัด,INV2502-327,2024-12-24,อนงค์ มณีแสง,2024-12-29,2024-04-17,2024-05-26
EXP090,PRJ019,BDG093,เครื่องจักร,ค่าขนส่ง,473800,วัสดุก่อสร้าง สำหรับ โครงการห้างสรรพสินค้า แห่งที่ 19,บริษัท IJ จำกัด,INV7495-614,2024-08-04,ประเสริฐ แก้วมี,2024-08-05,2024-04-17,2024-05-26
EXP091,PRJ019,BDG093,เครื่องจักร,เช่าเครื่องจักร,133615,ค่าแรง สำหรับ โครงการห้างสรรพสินค้า แห่งที่ 19,บริษัท CD จำกัด,INV1461-426,2024-08-13,วิชัย รุ่งเรือง,2024-08-14,2024-04-17,2024-05-26
EXP092,PRJ019,BDG095,ค่าใช้จ่ายอื่นๆ,เช่าเครื่องจักร,449970,ค่าแรง สำหรับ โครงการห้างสรรพสินค้า แห่งที่ 19,บริษัท ZA จำกัด,INV3254-139,2024-11-05,ประเสริฐ แก้วมี,2024-11-11,2024-04-17,2024-05-26
EXP093,PRJ019,BDG094,ขนส่ง,ค่าใช้จ่ายอื่นๆ,490979,ค่าแรง สำหรับ โครงการห้างสรรพสินค้า แห่งที่ 19,บริษัท NO จำกัด,INV8685-559,2024-12-05,วิชัย รุ่งเรือง,2024-12-09,2024-04-17,2024-05-26
EXP094,PRJ020,BDG098,เครื่องจักร,ค่าแรง,19963,ค่าบริการ สำหรับ โครงการโรงเรียน แห่งที่ 20,บริษัท ZA จำกัด,INV9647-533,2024-10-07,วิชัย รุ่งเรือง,2024-10-09,2023-08-07,2024-12-24
EXP095,PRJ020,BDG100,ค่าใช้จ่ายอื่นๆ,เช่าเครื่องจักร,416937,วัสดุก่อสร้าง สำหรับ โครงการโรงเรียน แห่งที่ 20,บริษัท CD จำกัด,INV1782-344,2024-10-11,อนงค์ มณีแสง,2024-10-13,2023-08-07,2024-12-24
