resource_id,project_id,employee_name,employee_id,role,department,hourly_rate,hours_allocated,hours_worked,start_date,end_date,status,created_date,updated_date
RES96538,PRJ2584,วิไล มั่งคั่ง,EMP2296,Foreman,จัดซื้อ,475,1341,1233,2022-07-09,2023-10-31,Active,2022-05-28,2025-07-16 10:24:43
RES48159,PRJ2584,ชาคริต ขันที,EMP7866,Architect,การเงิน,1996,441,1616,2022-07-09,2023-10-31,Completed,2022-05-28,2025-07-16 10:24:43
RES63523,PRJ2584,สมชาย มั่นใจ,EMP7831,Project Manager,จัดซื้อ,1155,703,1001,2022-07-09,2023-10-31,Active,2022-05-28,2025-07-16 10:24:43
RES54910,PRJ4733,สุดา ใสใจ,EMP8553,Supervisor,บำรุงรักษา,1822,1286,1053,2022-05-23,2022-10-06,On Leave,2022-03-12,2025-07-16 10:24:43
RES71508,PRJ4733,ปรีดา ประสิทธิ์,EMP9787,Worker,บริหาร,663,1064,107,2022-05-23,2022-10-06,On Leave,2022-03-12,2025-07-16 10:24:43
RES89429,PRJ4733,ชาคริต ขันที,EMP6211,Safety Officer,บำรุงรักษา,1581,1098,1688,2022-05-23,2022-10-06,Active,2022-03-12,2025-07-16 10:24:43
RES21326,PRJ4733,ปิยะ ไว้ใจ,EMP9420,Safety Officer,ก่อสร้าง,1038,1277,727,2022-05-23,2022-10-06,Active,2022-03-12,2025-07-16 10:24:43
RES78478,PRJ4733,สมหญิง ไว้ใจ,EMP3233,Foreman,จัดซื้อ,966,1567,1573,2022-05-23,2022-10-06,Active,2022-03-12,2025-07-16 10:24:43
RES94397,PRJ4733,กิตติ ขยัน,EMP2958,Safety Officer,บริหาร,1598,162,799,2022-05-23,2022-10-06,Active,2022-03-12,2025-07-16 10:24:43
RES74578,PRJ4733,นิรัชต์ ชื่นชม,EMP7950,Project Manager,การเงิน,1922,952,1592,2022-05-23,2022-10-06,On Leave,2022-03-12,2025-07-16 10:24:43
RES81139,PRJ4733,วิไล มั่งคั่ง,EMP4297,Site Engineer,จัดซื้อ,964,934,725,2022-05-23,2022-10-06,Completed,2022-03-12,2025-07-16 10:24:43
RES85658,PRJ4733,อรพิน สุขสม,EMP3364,Safety Officer,ควบคุมคุณภาพ,1931,412,456,2022-05-23,2022-10-06,Completed,2022-03-12,2025-07-16 10:24:43
RES82960,PRJ4733,อรพิน สมบูรณ์,EMP7112,Worker,วิศวกรรม,423,976,1721,2022-05-23,2022-10-06,Active,2022-03-12,2025-07-16 10:24:43
RES85602,PRJ4733,นงลักษณ์ สุขสม,EMP5287,Project Manager,บำรุงรักษา,323,165,1538,2022-05-23,2022-10-06,Active,2022-03-12,2025-07-16 10:24:43
RES10153,PRJ4733,วิไล รักงาน,EMP8960,Site Engineer,การเงิน,1115,509,180,2022-05-23,2022-10-06,Completed,2022-03-12,2025-07-16 10:24:43
RES95047,PRJ4733,วิชาญ เจริญ,EMP8721,Worker,บริหาร,1107,743,563,2022-05-23,2022-10-06,Active,2022-03-12,2025-07-16 10:24:43
RES81823,PRJ4733,สมศักดิ์ ใสใจ,EMP8252,Quality Control,บำรุงรักษา,1019,1592,410,2022-05-23,2022-10-06,On Leave,2022-03-12,2025-07-16 10:24:43
RES64038,PRJ4733,นิรัชต์ เจริญ,EMP6366,Site Engineer,วิศวกรรม,751,231,1797,2022-05-23,2022-10-06,On Leave,2022-03-12,2025-07-16 10:24:43
RES16716,PRJ4733,ปรีดา เจริญ,EMP2738,Safety Officer,การเงิน,151,217,1587,2022-05-23,2022-10-06,Active,2022-03-12,2025-07-16 10:24:43
RES16300,PRJ3803,ปิยะ ใสใจ,EMP5735,Safety Officer,ก่อสร้าง,912,1565,1661,2023-07-01,2023-12-11,On Leave,2023-05-15,2025-07-16 10:24:43
RES99479,PRJ3803,นงลักษณ์ เก่งกาจ,EMP1536,Site Engineer,บริหาร,620,1541,452,2023-07-01,2023-12-11,On Leave,2023-05-15,2025-07-16 10:24:43
RES71691,PRJ3803,อรพิน ไว้ใจ,EMP8755,Worker,บำรุงรักษา,1995,1541,1518,2023-07-01,2023-12-11,On Leave,2023-05-15,2025-07-16 10:24:43
RES53746,PRJ3803,วิภา ไว้ใจ,EMP7918,Architect,บำรุงรักษา,1509,793,621,2023-07-01,2023-12-11,Active,2023-05-15,2025-07-16 10:24:43
RES29837,PRJ3803,กิตติ ไว้ใจ,EMP5225,Foreman,บริหาร,859,736,270,2023-07-01,2023-12-11,Completed,2023-05-15,2025-07-16 10:24:43
RES24811,PRJ3803,อรพิน ชาญยุทธ,EMP8222,Worker,บริหาร,732,1552,850,2023-07-01,2023-12-11,Active,2023-05-15,2025-07-16 10:24:43
RES34596,PRJ3803,วิภา สุกใส,EMP4764,Safety Officer,จัดซื้อ,1994,969,1618,2023-07-01,2023-12-11,On Leave,2023-05-15,2025-07-16 10:24:43
RES89681,PRJ3803,สุธิดา รักงาน,EMP9742,Site Engineer,จัดซื้อ,1729,169,1185,2023-07-01,2023-12-11,Completed,2023-05-15,2025-07-16 10:24:43
RES21587,PRJ6155,สุธิดา เด่น,EMP1760,Architect,ความปลอดภัย,1166,1420,1581,2022-05-16,2023-03-18,Completed,2022-03-22,2025-07-16 10:24:43
RES76733,PRJ6155,นิรัชต์ ขยัน,EMP5470,Project Manager,บริหาร,1207,593,1778,2022-05-16,2023-03-18,Completed,2022-03-22,2025-07-16 10:24:43
RES62529,PRJ6155,สุดา เด่น,EMP1739,Architect,บำรุงรักษา,1180,683,643,2022-05-16,2023-03-18,Completed,2022-03-22,2025-07-16 10:24:43
RES84047,PRJ6155,นงลักษณ์ มั่นใจ,EMP8155,Supervisor,ก่อสร้าง,204,689,865,2022-05-16,2023-03-18,Active,2022-03-22,2025-07-16 10:24:43
RES29052,PRJ6155,สุธิดา มั่นใจ,EMP2790,Site Engineer,วิศวกรรม,799,345,1516,2022-05-16,2023-03-18,Active,2022-03-22,2025-07-16 10:24:43
RES77905,PRJ6155,อรพิน สุขสม,EMP9752,Worker,จัดซื้อ,1585,1547,968,2022-05-16,2023-03-18,On Leave,2022-03-22,2025-07-16 10:24:43
RES82601,PRJ6155,ธนากร ไว้ใจ,EMP4643,Foreman,วิศวกรรม,1398,657,831,2022-05-16,2023-03-18,On Leave,2022-03-22,2025-07-16 10:24:43
RES25438,PRJ6155,วิไล ชาญยุทธ,EMP1857,Safety Officer,ควบคุมคุณภาพ,993,1492,663,2022-05-16,2023-03-18,On Leave,2022-03-22,2025-07-16 10:24:43
RES79713,PRJ6155,สมชาย เจริญ,EMP3559,Foreman,จัดซื้อ,1893,702,417,2022-05-16,2023-03-18,Completed,2022-03-22,2025-07-16 10:24:43
RES74925,PRJ6155,ปิยะ มั่งคั่ง,EMP6487,Architect,ความปลอดภัย,1411,1279,1792,2022-05-16,2023-03-18,Active,2022-03-22,2025-07-16 10:24:43
RES85293,PRJ6155,วิไล ทรงธรรม,EMP9979,Site Engineer,ก่อสร้าง,1834,291,1653,2022-05-16,2023-03-18,Completed,2022-03-22,2025-07-16 10:24:43
RES99533,PRJ6155,ชาคริต ไว้ใจ,EMP9844,Worker,บำรุงรักษา,1113,784,891,2022-05-16,2023-03-18,Active,2022-03-22,2025-07-16 10:24:43
RES32872,PRJ6155,สมศักดิ์ สมบูรณ์,EMP8465,Site Engineer,บำรุงรักษา,753,1281,616,2022-05-16,2023-03-18,On Leave,2022-03-22,2025-07-16 10:24:43
RES33624,PRJ6155,นิรัชต์ ขยัน,EMP8041,Site Engineer,บำรุงรักษา,1121,535,1122,2022-05-16,2023-03-18,Completed,2022-03-22,2025-07-16 10:24:43
RES16215,PRJ6155,ชาคริต ใสใจ,EMP3360,Foreman,จัดซื้อ,1246,1073,976,2022-05-16,2023-03-18,On Leave,2022-03-22,2025-07-16 10:24:43
RES77956,PRJ6155,นงลักษณ์ สุกใส,EMP9876,Safety Officer,บำรุงรักษา,1181,837,700,2022-05-16,2023-03-18,Completed,2022-03-22,2025-07-16 10:24:43
RES77203,PRJ6155,ชาคริต สุกใส,EMP5831,Site Engineer,ควบคุมคุณภาพ,824,728,108,2022-05-16,2023-03-18,Active,2022-03-22,2025-07-16 10:24:43
RES27851,PRJ6155,สมศักดิ์ ชาญยุทธ,EMP7814,Project Manager,การเงิน,1400,1393,990,2022-05-16,2023-03-18,Active,2022-03-22,2025-07-16 10:24:43
RES96964,PRJ3266,นิรัชต์ มั่นใจ,EMP4420,Worker,จัดซื้อ,831,670,1156,2024-01-12,2024-11-21,On Leave,2023-11-10,2025-07-16 10:24:43
RES24533,PRJ3266,ปิยะ ขยัน,EMP9650,Worker,ความปลอดภัย,205,1140,1337,2024-01-12,2024-11-21,Active,2023-11-10,2025-07-16 10:24:43
RES97697,PRJ3266,อรพิน ขันที,EMP2946,Site Engineer,การเงิน,1014,998,1235,2024-01-12,2024-11-21,Completed,2023-11-10,2025-07-16 10:24:43
RES27342,PRJ3266,วิภา เจริญ,EMP8624,Project Manager,จัดซื้อ,428,846,1356,2024-01-12,2024-11-21,Completed,2023-11-10,2025-07-16 10:24:43
RES13965,PRJ3266,ธนากร สมบูรณ์,EMP2673,Quality Control,บริหาร,1211,428,1547,2024-01-12,2024-11-21,Active,2023-11-10,2025-07-16 10:24:43
RES93317,PRJ3266,พรรณี สมบูรณ์,EMP5064,Project Manager,ควบคุมคุณภาพ,1070,1061,1482,2024-01-12,2024-11-21,Active,2023-11-10,2025-07-16 10:24:43
RES95271,PRJ3266,ปรีดา สุขสม,EMP9796,Quality Control,ก่อสร้าง,1805,742,710,2024-01-12,2024-11-21,Completed,2023-11-10,2025-07-16 10:24:43
RES56156,PRJ3266,อรุณ ชาญยุทธ,EMP2026,Site Engineer,ก่อสร้าง,1936,1441,256,2024-01-12,2024-11-21,Active,2023-11-10,2025-07-16 10:24:43
RES11879,PRJ3266,ปรีดา ประสิทธิ์,EMP4047,Safety Officer,บริหาร,1263,969,952,2024-01-12,2024-11-21,Active,2023-11-10,2025-07-16 10:24:43
RES49165,PRJ3266,อรพิน ไว้ใจ,EMP9366,Architect,จัดซื้อ,803,931,574,2024-01-12,2024-11-21,Completed,2023-11-10,2025-07-16 10:24:43
RES52743,PRJ3266,พรรณี สุขสม,EMP9566,Project Manager,ก่อสร้าง,1036,1447,1228,2024-01-12,2024-11-21,On Leave,2023-11-10,2025-07-16 10:24:43
RES33071,PRJ3266,ธนากร มีสุข,EMP2245,Foreman,จัดซื้อ,1219,1046,1296,2024-01-12,2024-11-21,Active,2023-11-10,2025-07-16 10:24:43
RES90406,PRJ3266,ชาคริต รักงาน,EMP9617,Worker,ก่อสร้าง,797,1259,1127,2024-01-12,2024-11-21,Active,2023-11-10,2025-07-16 10:24:43
RES79810,PRJ3266,พรรณี สุกใส,EMP1589,Architect,ก่อสร้าง,1568,251,596,2024-01-12,2024-11-21,Active,2023-11-10,2025-07-16 10:24:43
RES38864,PRJ3266,สุดา ไว้ใจ,EMP9853,Safety Officer,วิศวกรรม,1521,503,529,2024-01-12,2024-11-21,On Leave,2023-11-10,2025-07-16 10:24:43
RES12198,PRJ3266,มานี ขันที,EMP7252,Quality Control,ความปลอดภัย,476,419,1713,2024-01-12,2024-11-21,Completed,2023-11-10,2025-07-16 10:24:43
RES72984,PRJ3266,ชูใจ รักงาน,EMP3231,Quality Control,การเงิน,1937,541,1065,2024-01-12,2024-11-21,Active,2023-11-10,2025-07-16 10:24:43
RES70655,PRJ3266,กิตติ มั่งคั่ง,EMP4984,Foreman,บริหาร,1233,1195,1089,2024-01-12,2024-11-21,Completed,2023-11-10,2025-07-16 10:24:43
RES39687,PRJ3266,ชาคริต สุกใส,EMP2310,Project Manager,จัดซื้อ,1299,532,1463,2024-01-12,2024-11-21,On Leave,2023-11-10,2025-07-16 10:24:43
RES39080,PRJ3266,ชาคริต ใสใจ,EMP7033,Safety Officer,ควบคุมคุณภาพ,616,860,970,2024-01-12,2024-11-21,Active,2023-11-10,2025-07-16 10:24:43
RES95245,PRJ3266,ปิยะ สุกใส,EMP9187,Project Manager,บริหาร,545,681,777,2024-01-12,2024-11-21,Active,2023-11-10,2025-07-16 10:24:43
RES79565,PRJ3266,อรพิน มั่นใจ,EMP8697,Supervisor,บริหาร,845,417,1689,2024-01-12,2024-11-21,Completed,2023-11-10,2025-07-16 10:24:43
RES93365,PRJ1188,ปิยะ เก่งกาจ,EMP6642,Safety Officer,บริหาร,1676,799,1552,2023-05-30,2025-03-16,Active,2023-03-29,2025-07-16 10:24:43
RES43367,PRJ1188,สมหญิง มีสุข,EMP6424,Architect,การเงิน,1765,754,940,2023-05-30,2025-03-16,On Leave,2023-03-29,2025-07-16 10:24:43
RES99644,PRJ1188,วิภา มั่นใจ,EMP8370,Safety Officer,บริหาร,1386,760,313,2023-05-30,2025-03-16,Active,2023-03-29,2025-07-16 10:24:43
RES72478,PRJ1188,ชูใจ ประสิทธิ์,EMP2132,Architect,จัดซื้อ,1001,1465,1706,2023-05-30,2025-03-16,Completed,2023-03-29,2025-07-16 10:24:43
RES94531,PRJ1188,สุธิดา สมบูรณ์,EMP9644,Quality Control,การเงิน,968,938,1346,2023-05-30,2025-03-16,Active,2023-03-29,2025-07-16 10:24:43
RES46508,PRJ1188,วิไล ขยัน,EMP8065,Safety Officer,ควบคุมคุณภาพ,758,584,483,2023-05-30,2025-03-16,On Leave,2023-03-29,2025-07-16 10:24:43
RES91736,PRJ1188,นิรัชต์ เก่งกาจ,EMP5643,Architect,การเงิน,515,1254,1052,2023-05-30,2025-03-16,On Leave,2023-03-29,2025-07-16 10:24:43
RES13802,PRJ1188,สมชาย ขันที,EMP3648,Supervisor,ความปลอดภัย,1046,800,1293,2023-05-30,2025-03-16,On Leave,2023-03-29,2025-07-16 10:24:43
RES46575,PRJ1188,สุดา ขันที,EMP5498,Project Manager,บำรุงรักษา,1537,1004,149,2023-05-30,2025-03-16,On Leave,2023-03-29,2025-07-16 10:24:43
RES87940,PRJ1188,ธนากร ชาญยุทธ,EMP1969,Site Engineer,ก่อสร้าง,1286,256,561,2023-05-30,2025-03-16,Active,2023-03-29,2025-07-16 10:24:43
RES77063,PRJ1188,สมชาย ใจดี,EMP4953,Safety Officer,วิศวกรรม,1329,929,394,2023-05-30,2025-03-16,On Leave,2023-03-29,2025-07-16 10:24:43
RES42473,PRJ1188,อรพิน ขันที,EMP1873,Architect,วิศวกรรม,608,238,1207,2023-05-30,2025-03-16,On Leave,2023-03-29,2025-07-16 10:24:43
RES25331,PRJ1188,อรพิน ชาญยุทธ,EMP4386,Safety Officer,ความปลอดภัย,184,564,767,2023-05-30,2025-03-16,Completed,2023-03-29,2025-07-16 10:24:43
RES12775,PRJ1188,ปิยะ สุกใส,EMP9044,Foreman,บำรุงรักษา,1088,305,752,2023-05-30,2025-03-16,Completed,2023-03-29,2025-07-16 10:24:43
RES89711,PRJ1188,อรุณ ไว้ใจ,EMP7030,Safety Officer,ความปลอดภัย,899,883,1113,2023-05-30,2025-03-16,Completed,2023-03-29,2025-07-16 10:24:43
RES84716,PRJ9317,อรพิน ใสใจ,EMP1416,Architect,การเงิน,1402,1488,591,2022-08-06,2023-09-05,On Leave,2022-06-22,2025-07-16 10:24:43
RES60688,PRJ9317,ปิยะ มั่นใจ,EMP2359,Safety Officer,วิศวกรรม,1438,775,1152,2022-08-06,2023-09-05,Completed,2022-06-22,2025-07-16 10:24:43
RES47516,PRJ9317,นิรัชต์ ประสิทธิ์,EMP4674,Architect,ก่อสร้าง,1942,1572,740,2022-08-06,2023-09-05,Active,2022-06-22,2025-07-16 10:24:43
RES96875,PRJ9317,อรพิน มีสุข,EMP2010,Safety Officer,ก่อสร้าง,1663,312,907,2022-08-06,2023-09-05,On Leave,2022-06-22,2025-07-16 10:24:43
RES22619,PRJ9317,นิรัชต์ ไว้ใจ,EMP4030,Site Engineer,ความปลอดภัย,791,926,1106,2022-08-06,2023-09-05,Completed,2022-06-22,2025-07-16 10:24:43
RES48777,PRJ9317,ธนากร มีสุข,EMP1983,Supervisor,บริหาร,1605,1521,377,2022-08-06,2023-09-05,Completed,2022-06-22,2025-07-16 10:24:43
RES60556,PRJ9317,นงลักษณ์ ขยัน,EMP8589,Supervisor,บริหาร,1441,1210,1596,2022-08-06,2023-09-05,On Leave,2022-06-22,2025-07-16 10:24:43
RES49345,PRJ9317,สมหญิง ชาญยุทธ,EMP6937,Supervisor,ก่อสร้าง,439,347,1709,2022-08-06,2023-09-05,Active,2022-06-22,2025-07-16 10:24:43
RES47291,PRJ9317,พรรณี มั่งคั่ง,EMP3832,Supervisor,จัดซื้อ,1661,638,693,2022-08-06,2023-09-05,On Leave,2022-06-22,2025-07-16 10:24:43
